      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-03     1.58489E+04     1.25000E+01    -2.52383E-03
    1.00000E-03     1.99526E+04     1.25000E+01    -2.00475E-03
    1.00000E-03     2.51189E+04     1.25000E+01    -1.59243E-03
    1.00000E-03     3.16228E+04     1.25000E+01    -1.26491E-03
    1.00000E-03     3.98107E+04     1.25000E+01    -1.00475E-03
    1.00000E-03     5.01187E+04     1.25000E+01    -7.98105E-04
    1.00000E-03     6.30957E+04     1.25000E+01    -6.33957E-04
    1.00000E-03     7.94328E+04     1.25000E+01    -5.03570E-04
    1.00000E-03     1.00000E+05     1.25000E+01    -4.00000E-04
    1.00000E-04     1.00000E-05     9.98669E+03    -3.32742E+02
    1.00000E-04     1.25893E-05     9.97892E+03    -4.18502E+02
    1.00000E-04     1.58489E-05     9.96665E+03    -5.26075E+02
    1.00000E-04     1.99526E-05     9.94726E+03    -6.60724E+02
    1.00000E-04     2.51189E-05     9.91673E+03    -8.28698E+02
    1.00000E-04     3.16228E-05     9.86882E+03    -1.03714E+03
    1.00000E-04     3.98107E-05     9.79404E+03    -1.29362E+03
    1.00000E-04     5.01187E-05     9.67834E+03    -1.60511E+03
    1.00000E-04     6.30957E-05     9.50173E+03    -1.97561E+03
    1.00000E-04     7.94328E-05     9.23763E+03    -2.40224E+03
    1.00000E-04     1.00000E-04     8.85455E+03    -2.86922E+03
    1.00000E-04     1.25893E-04     8.32277E+03    -3.34128E+03
    1.00000E-04     1.58489E-04     7.62784E+03    -3.76100E+03
    1.00000E-04     1.99526E-04     6.78794E+03    -4.05756E+03
    1.00000E-04     2.51189E-04     5.86327E+03    -4.17071E+03
    1.00000E-04     3.16228E-04     4.94358E+03    -4.07965E+03
    1.00000E-04     3.98107E-04     4.11530E+03    -3.81485E+03
    1.00000E-04     5.01187E-04     3.43082E+03    -3.44207E+03
    1.00000E-04     6.30957E-04     2.89980E+03    -3.03249E+03
