      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-03     1.00000E-04     4.99958E+02    -4.16364E+00
    1.00000E-03     1.25893E-04     4.99934E+02    -5.24140E+00
    1.00000E-03     1.58489E-04     4.99895E+02    -6.59792E+00
    1.00000E-03     1.99526E-04     4.99834E+02    -8.30505E+00
    1.00000E-03     2.51189E-04     4.99737E+02    -1.04530E+01
    1.00000E-03     3.16228E-04     4.99584E+02    -1.31546E+01
    1.00000E-03     3.98107E-04     4.99341E+02    -1.65509E+01
    1.00000E-03     5.01187E-04     4.98956E+02    -2.08168E+01
    1.00000E-03     6.30957E-04     4.98348E+02    -2.61679E+01
    1.00000E-03     7.94328E-04     4.97388E+02    -3.28663E+01
    1.00000E-03     1.00000E-03     4.95876E+02    -4.12231E+01
    1.00000E-03     1.25893E-03     4.93502E+02    -5.15942E+01
    1.00000E-03     1.58489E-03     4.89797E+02    -6.43588E+01
    1.00000E-03     1.99526E-03     4.84063E+02    -7.98648E+01
    1.00000E-03     2.51189E-03     4.75309E+02    -9.83178E+01
    1.00000E-03     3.16228E-03     4.62211E+02    -1.19582E+02
    1.00000E-03     3.98107E-03     4.43199E+02    -1.42885E+02
    1.00000E-03     5.01187E-03     4.16781E+02    -1.66485E+02
    1.00000E-03     6.30957E-03     3.82214E+02    -1.87532E+02
    1.00000E-03     7.94328E-03     3.40367E+02    -2.02492E+02
    1.00000E-03     1.00000E-02     2.94210E+02    -2.08328E+02
    1.00000E-03     1.25893E-02     2.48213E+02    -2.03956E+02
    1.00000E-03     1.58489E-02     2.06714E+02    -1.90852E+02
    1.00000E-03     1.99526E-02     1.72370E+02    -1.72280E+02
    1.00000E-03     2.51189E-02     1.45701E+02    -1.51804E+02
    1.00000E-03     3.16228E-02     1.25667E+02    -1.32154E+02
    1.00000E-03     3.98107E-02     1.10546E+02    -1.14858E+02
    1.00000E-03     5.01187E-02     9.86230E+01    -1.00384E+02
    1.00000E-03     6.30957E-02     8.85598E+01    -8.84851E+01
    1.00000E-03     7.94328E-02     7.95459E+01    -7.85615E+01
    1.00000E-03     1.00000E-01     7.12612E+01    -6.99938E+01
    1.00000E-03     1.25893E-01     6.36897E+01    -6.23621E+01
    1.00000E-03     1.58489E-01     5.68876E+01    -5.54808E+01
    1.00000E-03     1.99526E-01     5.08474E+01    -4.92911E+01
    1.00000E-03     2.51189E-01     4.54981E+01    -4.37496E+01
    1.00000E-03     3.16228E-01     4.07575E+01    -3.87934E+01
    1.00000E-03     3.98107E-01     3.65581E+01    -3.43547E+01
    1.00000E-03     5.01187E-01     3.28453E+01    -3.03737E+01
    1.00000E-03     6.30957E-01     2.95705E+01    -2.67986E+01
    1.00000E-03     7.94328E-01     2.66911E+01    -2.35832E+01
    1.00000E-03     1.00000E+00     2.41701E+01    -2.06868E+01
    1.00000E-03     1.25893E+00     2.19750E+01    -1.80735E+01
    1.00000E-03     1.58489E+00     2.00782E+01    -1.57125E+01
    1.00000E-03     1.99526E+00     1.84557E+01    -1.35781E+01
    1.00000E-03     2.51189E+00     1.70869E+01    -1.16495E+01
    1.00000E-03     3.16228E+00     1.59526E+01    -9.91145E+00
    1.00000E-03     3.98107E+00     1.50345E+01    -8.35376E+00
    1.00000E-03     5.01187E+00     1.43122E+01    -6.97051E+00
    1.00000E-03     6.30957E+00     1.37624E+01    -5.75804E+00
    1.00000E-03     7.94328E+00     1.33586E+01    -4.71203E+00
    1.00000E-03     1.00000E+01     1.30721E+01    -3.82494E+00
    1.00000E-03     1.25893E+01     1.28750E+01    -3.08477E+00
    1.00000E-03     1.58489E+01     1.27428E+01    -2.47574E+00
    1.00000E-03     1.99526E+01     1.26559E+01    -1.98006E+00
    1.00000E-03     2.51189E+01     1.25994E+01    -1.57986E+00
    1.00000E-03     3.16228E+01     1.25632E+01    -1.25855E+00
    1.00000E-03     3.98107E+01     1.25401E+01    -1.00154E+00
    1.00000E-03     5.01187E+01     1.25254E+01    -7.96490E-01
    1.00000E-03     6.30957E+01     1.25160E+01    -6.33146E-01
    1.00000E-03     7.94328E+01     1.25101E+01    -5.03163E-01
    1.00000E-03     1.00000E+02     1.25064E+01    -3.99796E-01
    1.00000E-03     1.25893E+02     1.25040E+01    -3.17629E-01
    1.00000E-03     1.58489E+02     1.25025E+01    -2.52332E-01
    1.00000E-03     1.99526E+02     1.25016E+01    -2.00449E-01
    1.00000E-03     2.51189E+02     1.25010E+01    -1.59230E-01
    1.00000E-03     3.16228E+02     1.25006E+01    -1.26485E-01
    1.00000E-03     3.98107E+02     1.25004E+01    -1.00472E-01
    1.00000E-03     5.01187E+02     1.25003E+01    -7.98089E-02
    1.00000E-03     6.30957E+02     1.25002E+01    -6.33949E-02
    1.00000E-03     7.94328E+02     1.25001E+01    -5.03566E-02
    1.00000E-03     1.00000E+03     1.25001E+01    -3.99998E-02
    1.00000E-03     1.25893E+03     1.25000E+01    -3.17730E-02
    1.00000E-03     1.58489E+03     1.25000E+01    -2.52382E-02
    1.00000E-03     1.99526E+03     1.25000E+01    -2.00475E-02
    1.00000E-03     2.51189E+03     1.25000E+01    -1.59243E-02
    1.00000E-03     3.16228E+03     1.25000E+01    -1.26491E-02
