      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   3.98107E+000    9.37500E-001   -3.97677E-003    1.38073E-002
   3.98107E+000    9.62500E-001   -2.24800E-003    8.32156E-003
   3.98107E+000    9.87500E-001   -7.26276E-004    2.77988E-003
   3.98107E+000    1.00000E+000    0.00000E+000    0.00000E+000
   5.01187E+000    0.00000E+000    1.00276E+000   -9.95034E-001
   5.01187E+000    1.25000E-002    8.77760E-001   -9.95034E-001
   5.01187E+000    3.75000E-002    6.58929E-001   -9.67539E-001
   5.01187E+000    6.25000E-002    4.70405E-001   -9.19403E-001
   5.01187E+000    8.75000E-002    3.10680E-001   -8.56533E-001
   5.01187E+000    1.12500E-001    1.77786E-001   -7.83930E-001
   5.01187E+000    1.37500E-001    6.94480E-002   -7.05759E-001
   5.01187E+000    1.62500E-001   -1.67829E-002   -6.25412E-001
   5.01187E+000    1.87500E-001   -8.34233E-002   -5.45591E-001
   5.01187E+000    2.12500E-001   -1.32973E-001   -4.68383E-001
   5.01187E+000    2.37500E-001   -1.67852E-001   -3.95340E-001
   5.01187E+000    2.62500E-001   -1.90347E-001   -3.27555E-001
   5.01187E+000    2.87500E-001   -2.02581E-001   -2.65733E-001
   5.01187E+000    3.12500E-001   -2.06491E-001   -2.10256E-001
   5.01187E+000    3.37500E-001   -2.03816E-001   -1.61248E-001
   5.01187E+000    3.62500E-001   -1.96089E-001   -1.18624E-001
   5.01187E+000    3.87500E-001   -1.84647E-001   -8.21417E-002
   5.01187E+000    4.12500E-001   -1.70631E-001   -5.14438E-002
   5.01187E+000    4.37500E-001   -1.55004E-001   -2.60908E-002
   5.01187E+000    4.62500E-001   -1.38560E-001   -5.59318E-003
   5.01187E+000    4.87500E-001   -1.21941E-001    1.05642E-002
   5.01187E+000    5.12500E-001   -1.05652E-001    2.29018E-002
   5.01187E+000    5.37500E-001   -9.00814E-002    3.19300E-002
   5.01187E+000    5.62500E-001   -7.55105E-002    3.81364E-002
   5.01187E+000    5.87500E-001   -6.21343E-002    4.19775E-002
   5.01187E+000    6.12500E-001   -5.00729E-002    4.38724E-002
   5.01187E+000    6.37500E-001   -3.93858E-002    4.41987E-002
   5.01187E+000    6.62500E-001   -3.00832E-002    4.32913E-002
   5.01187E+000    6.87500E-001   -2.21367E-002    4.14415E-002
   5.01187E+000    7.12500E-001   -1.54882E-002    3.88984E-002
   5.01187E+000    7.37500E-001   -1.00583E-002    3.58701E-002
   5.01187E+000    7.62500E-001   -5.75191E-003    3.25267E-002
   5.01187E+000    7.87500E-001   -2.46442E-003    2.90032E-002
   5.01187E+000    8.12500E-001   -8.54401E-005    2.54024E-002
   5.01187E+000    8.37500E-001    1.49783E-003    2.17990E-002
   5.01187E+000    8.62500E-001    2.39827E-003    1.82425E-002
   5.01187E+000    8.87500E-001    2.72727E-003    1.47612E-002
   5.01187E+000    9.12500E-001    2.59389E-003    1.13652E-002
   5.01187E+000    9.37500E-001    2.10451E-003    8.05051E-003
   5.01187E+000    9.62500E-001    1.36295E-003    4.80174E-003
   5.01187E+000    9.87500E-001    4.70977E-004    1.59566E-003
   5.01187E+000    1.00000E+000    0.00000E+000    0.00000E+000
   6.30957E+000    0.00000E+000    8.94566E-001   -8.85835E-001
   6.30957E+000    1.25000E-002    7.69566E-001   -8.85835E-001
   6.30957E+000    3.75000E-002    5.54499E-001   -8.55487E-001
   6.30957E+000    6.25000E-002    3.73168E-001   -8.03273E-001
   6.30957E+000    8.75000E-002    2.23513E-001   -7.36343E-001
   6.30957E+000    1.12500E-001    1.02897E-001   -6.60599E-001
   6.30957E+000    1.37500E-001    8.33044E-003   -5.80797E-001
   6.30957E+000    1.62500E-001   -6.33321E-002   -5.00666E-001
   6.30957E+000    1.87500E-001   -1.15251E-001   -4.23033E-001
   6.30957E+000    2.12500E-001   -1.50487E-001   -3.49945E-001
   6.30957E+000    2.37500E-001   -1.71924E-001   -2.82791E-001
   6.30957E+000    2.62500E-001   -1.82209E-001   -2.22418E-001
   6.30957E+000    2.87500E-001   -1.83722E-001   -1.69229E-001
   6.30957E+000    3.12500E-001   -1.78562E-001   -1.23286E-001
   6.30957E+000    3.37500E-001   -1.68541E-001   -8.43838E-002
   6.30957E+000    3.62500E-001   -1.55192E-001   -5.21283E-002
   6.30957E+000    3.87500E-001   -1.39787E-001   -2.59927E-002
   6.30957E+000    4.12500E-001   -1.23357E-001   -5.36968E-003
   6.30957E+000    4.37500E-001   -1.06715E-001    1.03888E-002
   6.30957E+000    4.62500E-001   -9.04831E-002    2.19390E-002
   6.30957E+000    4.87500E-001   -7.51163E-002    2.99211E-002
   6.30957E+000    5.12500E-001   -6.09294E-002    3.49409E-002
   6.30957E+000    5.37500E-001   -4.81204E-002    3.75580E-002
   6.30957E+000    5.62500E-001   -3.67924E-002    3.82775E-002
   6.30957E+000    5.87500E-001   -2.69740E-002    3.75460E-002
   6.30957E+000    6.12500E-001   -1.86361E-002    3.57509E-002
   6.30957E+000    6.37500E-001   -1.17081E-002    3.32209E-002
   6.30957E+000    6.62500E-001   -6.09017E-003    3.02291E-002
   6.30957E+000    6.87500E-001   -1.66430E-003    2.69972E-002
   6.30957E+000    7.12500E-001    1.69694E-003    2.36996E-002
   6.30957E+000    7.37500E-001    4.12359E-003    2.04690E-002
   6.30957E+000    7.62500E-001    5.74305E-003    1.74009E-002
   6.30957E+000    7.87500E-001    6.67631E-003    1.45594E-002
   6.30957E+000    8.12500E-001    7.03542E-003    1.19811E-002
   6.30957E+000    8.37500E-001    6.92205E-003    9.68028E-003
   6.30957E+000    8.62500E-001    6.42695E-003    7.65242E-003
   6.30957E+000    8.87500E-001    5.63007E-003    5.87800E-003
   6.30957E+000    9.12500E-001    4.60140E-003    4.32561E-003
   6.30957E+000    9.37500E-001    3.40215E-003    2.95467E-003
   6.30957E+000    9.62500E-001    2.08638E-003    1.71789E-003
   6.30957E+000    9.87500E-001    7.02866E-004    5.63391E-004
   6.30957E+000    1.00000E+000    0.00000E+000    0.00000E+000
   7.94328E+000    0.00000E+000    7.98320E-001   -7.88473E-001
   7.94328E+000    1.25000E-002    6.73320E-001   -7.88473E-001
   7.94328E+000    3.75000E-002    4.62465E-001   -7.55046E-001
   7.94328E+000    6.25000E-002    2.89093E-001   -6.98660E-001
   7.94328E+000    8.75000E-002    1.50408E-001   -6.27921E-001
   7.94328E+000    1.12500E-001    4.28951E-002   -5.49715E-001
   7.94328E+000    1.37500E-001   -3.73264E-002   -4.69379E-001
   7.94328E+000    1.62500E-001   -9.42454E-002   -3.90897E-001
   7.94328E+000    1.87500E-001   -1.31758E-001   -3.17094E-001
   7.94328E+000    2.12500E-001   -1.53528E-001   -2.49831E-001
