      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-03     2.51189E-04     3.33304E+02    -3.98665E+03
    1.00000E-03     3.16228E-04     3.33226E+02    -3.16929E+03
    1.00000E-03     3.98107E-04     3.33103E+02    -2.52071E+03
    1.00000E-03     5.01187E-04     3.32907E+02    -2.00636E+03
    1.00000E-03     6.30957E-04     3.32598E+02    -1.59885E+03
    1.00000E-03     7.94328E-04     3.32111E+02    -1.27646E+03
    1.00000E-03     1.00000E-03     3.31342E+02    -1.02200E+03
    1.00000E-03     1.25893E-03     3.30136E+02    -8.21867E+02
    1.00000E-03     1.58489E-03     3.28253E+02    -6.65328E+02
    1.00000E-03     1.99526E-03     3.25338E+02    -5.43876E+02
    1.00000E-03     2.51189E-03     3.20884E+02    -4.50731E+02
    1.00000E-03     3.16228E-03     3.14214E+02    -3.80371E+02
    1.00000E-03     3.98107E-03     3.04518E+02    -3.28091E+02
    1.00000E-03     5.01187E-03     2.91011E+02    -2.89605E+02
    1.00000E-03     6.30957E-03     2.73260E+02    -2.60788E+02
    1.00000E-03     7.94328E-03     2.51615E+02    -2.37737E+02
    1.00000E-03     1.00000E-02     2.27433E+02    -2.17231E+02
    1.00000E-03     1.25893E-02     2.02781E+02    -1.97341E+02
    1.00000E-03     1.58489E-02     1.79626E+02    -1.77625E+02
    1.00000E-03     1.99526E-02     1.59102E+02    -1.58642E+02
    1.00000E-03     2.51189E-02     1.41359E+02    -1.41142E+02
    1.00000E-03     3.16228E-02     1.25959E+02    -1.25513E+02
    1.00000E-03     3.98107E-02     1.12378E+02    -1.11710E+02
    1.00000E-03     5.01187E-02     1.00271E+02    -9.94789E+01
    1.00000E-03     6.30957E-02     8.94621E+01    -8.85800E+01
    1.00000E-03     7.94328E-02     7.98331E+01    -7.88484E+01
    1.00000E-03     1.00000E-01     7.12652E+01    -7.01605E+01
    1.00000E-03     1.25893E-01     6.36438E+01    -6.24042E+01
    1.00000E-03     1.58489E-01     5.68672E+01    -5.54764E+01
    1.00000E-03     1.99526E-01     5.08456E+01    -4.92852E+01
    1.00000E-03     2.51189E-01     4.54994E+01    -4.37486E+01
    1.00000E-03     3.16228E-01     4.07577E+01    -3.87936E+01
    1.00000E-03     3.98107E-01     3.65581E+01    -3.43547E+01
    1.00000E-03     5.01187E-01     3.28453E+01    -3.03737E+01
    1.00000E-03     6.30957E-01     2.95705E+01    -2.67986E+01
    1.00000E-03     7.94328E-01     2.66911E+01    -2.35832E+01
    1.00000E-03     1.00000E+00     2.41701E+01    -2.06868E+01
    1.00000E-03     1.25893E+00     2.19750E+01    -1.80735E+01
    1.00000E-03     1.58489E+00     2.00782E+01    -1.57125E+01
    1.00000E-03     1.99526E+00     1.84557E+01    -1.35781E+01
    1.00000E-03     2.51189E+00     1.70869E+01    -1.16495E+01
    1.00000E-03     3.16228E+00     1.59526E+01    -9.91145E+00
    1.00000E-03     3.98107E+00     1.50345E+01    -8.35376E+00
    1.00000E-03     5.01187E+00     1.43122E+01    -6.97051E+00
    1.00000E-03     6.30957E+00     1.37624E+01    -5.75804E+00
    1.00000E-03     7.94328E+00     1.33586E+01    -4.71203E+00
    1.00000E-03     1.00000E+01     1.30721E+01    -3.82494E+00
    1.00000E-03     1.25893E+01     1.28750E+01    -3.08477E+00
    1.00000E-03     1.58489E+01     1.27428E+01    -2.47574E+00
    1.00000E-03     1.99526E+01     1.26559E+01    -1.98006E+00
    1.00000E-03     2.51189E+01     1.25994E+01    -1.57986E+00
    1.00000E-03     3.16228E+01     1.25632E+01    -1.25855E+00
    1.00000E-03     3.98107E+01     1.25401E+01    -1.00154E+00
    1.00000E-03     5.01187E+01     1.25254E+01    -7.96490E-01
    1.00000E-03     6.30957E+01     1.25160E+01    -6.33146E-01
    1.00000E-03     7.94328E+01     1.25101E+01    -5.03163E-01
    1.00000E-03     1.00000E+02     1.25064E+01    -3.99796E-01
    1.00000E-03     1.25893E+02     1.25040E+01    -3.17629E-01
    1.00000E-03     1.58489E+02     1.25025E+01    -2.52332E-01
    1.00000E-03     1.99526E+02     1.25016E+01    -2.00449E-01
    1.00000E-03     2.51189E+02     1.25010E+01    -1.59230E-01
    1.00000E-03     3.16228E+02     1.25006E+01    -1.26485E-01
    1.00000E-03     3.98107E+02     1.25004E+01    -1.00472E-01
    1.00000E-03     5.01187E+02     1.25003E+01    -7.98089E-02
    1.00000E-03     6.30957E+02     1.25002E+01    -6.33949E-02
    1.00000E-03     7.94328E+02     1.25001E+01    -5.03566E-02
    1.00000E-03     1.00000E+03     1.25001E+01    -3.99998E-02
    1.00000E-03     1.25893E+03     1.25000E+01    -3.17730E-02
    1.00000E-03     1.58489E+03     1.25000E+01    -2.52382E-02
    1.00000E-03     1.99526E+03     1.25000E+01    -2.00475E-02
    1.00000E-03     2.51189E+03     1.25000E+01    -1.59243E-02
    1.00000E-03     3.16228E+03     1.25000E+01    -1.26491E-02
    1.00000E-03     3.98107E+03     1.25000E+01    -1.00475E-02
    1.00000E-03     5.01187E+03     1.25000E+01    -7.98105E-03
    1.00000E-03     6.30957E+03     1.25000E+01    -6.33957E-03
    1.00000E-03     7.94328E+03     1.25000E+01    -5.03570E-03
    1.00000E-03     1.00000E+04     1.25000E+01    -4.00000E-03
    1.00000E-03     1.25893E+04     1.25000E+01    -3.17731E-03
    1.00000E-03     1.58489E+04     1.25000E+01    -2.52383E-03
    1.00000E-03     1.99526E+04     1.25000E+01    -2.00475E-03
    1.00000E-03     2.51189E+04     1.25000E+01    -1.59243E-03
    1.00000E-03     3.16228E+04     1.25000E+01    -1.26491E-03
    1.00000E-03     3.98107E+04     1.25000E+01    -1.00475E-03
    1.00000E-03     5.01187E+04     1.25000E+01    -7.98105E-04
    1.00000E-03     6.30957E+04     1.25000E+01    -6.33957E-04
    1.00000E-03     7.94328E+04     1.25000E+01    -5.03570E-04
    1.00000E-03     1.00000E+05     1.25000E+01    -4.00000E-04
    1.00000E-04     1.00000E-05     3.33416E+03    -1.00022E+05
    1.00000E-04     1.25893E-05     3.33404E+03    -7.94608E+04
    1.00000E-04     1.58489E-05     3.33384E+03    -6.31309E+04
    1.00000E-04     1.99526E-05     3.33353E+03    -5.01630E+04
    1.00000E-04     2.51189E-05     3.33304E+03    -3.98665E+04
    1.00000E-04     3.16228E-05     3.33226E+03    -3.16929E+04
    1.00000E-04     3.98107E-05     3.33103E+03    -2.52071E+04
    1.00000E-04     5.01187E-05     3.32907E+03    -2.00636E+04
    1.00000E-04     6.30957E-05     3.32598E+03    -1.59885E+04
    1.00000E-04     7.94328E-05     3.32111E+03    -1.27646E+04
    1.00000E-04     1.00000E-04     3.31342E+03    -1.02200E+04
    1.00000E-04     1.25893E-04     3.30136E+03    -8.21867E+03
    1.00000E-04     1.58489E-04     3.28253E+03    -6.65328E+03
    1.00000E-04     1.99526E-04     3.25338E+03    -5.43876E+03
    1.00000E-04     2.51189E-04     3.20884E+03    -4.50731E+03
    1.00000E-04     3.16228E-04     3.14214E+03    -3.80371E+03
    1.00000E-04     3.98107E-04     3.04518E+03    -3.28091E+03
    1.00000E-04     5.01187E-04     2.91011E+03    -2.89605E+03
    1.00000E-04     6.30957E-04     2.73260E+03    -2.60788E+03
    1.00000E-04     7.94328E-04     2.51615E+03    -2.37737E+03
    1.00000E-04     1.00000E-03     2.27433E+03    -2.17231E+03
    1.00000E-04     1.25893E-03     2.02781E+03    -1.97341E+03
