 Iter      Position             C_O2             C_OH             C_Na             C_Cl              Phi            C_H2O
    #            η            mol/L            mol/L            mol/L            mol/L            Volts            mol/L
    2       0.06000  -3.40652754E-04   4.52585161E-04   1.00051879E+00   9.98788218E-01  -1.30211972E-01   5.34985793E+01
    2       0.12000   5.38721177E-04   3.20892630E-03   1.00005169E+00   9.96842760E-01   4.24446199E-03   5.34993579E+01
    2       0.18000  -1.15299250E-04   4.77405708E-04   9.99939513E-01   9.99462107E-01   6.74440723E-03   5.35002363E+01
    2       0.24000  -2.42074934E-06  -7.73573669E-04   1.00021580E+00   1.00098937E+00   7.16965374E-04   5.34995708E+01
    2       0.30000   2.52756484E-04   1.47200887E-04   9.99963235E-01   9.99816034E-01   1.80822197E-03   5.34998208E+01
    2       0.36000   4.73663872E-04  -1.16253480E-04   9.99838685E-01   9.99954938E-01  -3.37292516E-04   5.34998490E+01
    2       0.42000   6.46730954E-04  -5.50724320E-05   9.99812424E-01   9.99867496E-01  -3.26282688E-04   5.34997284E+01
    2       0.48000   7.58434620E-04  -3.25572058E-04   9.99735177E-01   1.00006075E+00  -3.40098000E-04   5.34997712E+01
    2       0.54000   8.42707723E-04  -2.60957978E-04   9.99753120E-01   1.00001408E+00  -3.25721841E-04   5.34996511E+01
    2       0.60000   1.02200789E-03  -5.26849204E-04   9.99637091E-01   1.00016394E+00  -3.37687011E-04   5.34997038E+01
    2       0.66000   1.08572038E-03  -4.56873485E-04   9.99661383E-01   1.00011826E+00  -3.22980705E-04   5.34995915E+01
    2       0.72000   1.25211717E-03  -7.17512804E-04   9.99546361E-01   1.00026387E+00  -3.37196601E-04   5.34996552E+01
    2       0.78000   1.29331518E-03  -6.41757907E-04   9.99578287E-01   1.00022004E+00  -3.18783732E-04   5.34995501E+01
    2       0.84000   1.44837397E-03  -8.96297197E-04   9.99464099E-01   1.00036040E+00  -3.34326517E-04   5.34996234E+01
    2       0.90000   1.46352415E-03  -8.13647404E-04   9.99504920E-01   1.00031857E+00  -3.12984138E-04   5.34995266E+01
    2       0.96000   1.61203400E-03  -1.06266523E-03   9.99388228E-01   1.00045089E+00  -3.33351582E-04   5.34996115E+01
