        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity               Xi             Zeta
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s                                  
     0.00000   1.09098000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.30091053E-01   3.47153667E+00   7.89434497E-01
     0.00000   1.10374000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.35504775E-01   3.51213944E+00   7.98667649E-01
     0.00000   1.11650000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.40981447E-01   3.55274220E+00   8.07900801E-01
     0.00000   1.12926000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.46521070E-01   3.59334497E+00   8.17133953E-01
     0.00000   1.14202000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.52123643E-01   3.63394774E+00   8.26367105E-01
     0.00000   1.15478000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.57789166E-01   3.67455051E+00   8.35600257E-01
     0.00000   1.16754000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.63517639E-01   3.71515328E+00   8.44833409E-01
     0.00000   1.18030000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.69309062E-01   3.75575604E+00   8.54066561E-01
     0.00000   1.19306000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.75163436E-01   3.79635881E+00   8.63299713E-01
     0.00000   1.20582000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.81080760E-01   3.83696158E+00   8.72532865E-01
     0.00000   1.21858000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.87061035E-01   3.87756435E+00   8.81766017E-01
     0.00000   1.23134000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.93104259E-01   3.91816712E+00   8.90999169E-01
     0.00000   1.24410000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.99210434E-01   3.95876989E+00   9.00232321E-01
     0.00000   1.25686000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.05379559E-01   3.99937265E+00   9.09465473E-01
     0.00000   1.26962000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.11611634E-01   4.03997542E+00   9.18698625E-01
     0.00000   1.27600000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.14751278E-01   4.06027681E+00   9.23315201E-01
     0.55556   0.00000000E+00   0.00000000E+00   4.18783910E-07   1.00018914E-03   9.99770358E-04  -4.34009080E-05  -0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.55556   6.38000000E-05   4.50583208E-09   4.11932368E-07   1.00018572E-03   9.99773783E-04  -4.33129382E-05  -7.86878196E-06   2.03013840E-02   4.61657600E-03
     0.55556   1.91400000E-04   1.35174962E-08   3.98229237E-07   1.00017886E-03   9.99780633E-04  -4.31369980E-05  -7.08190376E-05   6.09041521E-02   1.38497280E-02
     0.55556   3.19000000E-04   2.25273507E-08   3.84527060E-07   1.00017201E-03   9.99787483E-04  -4.29610262E-05  -1.96719549E-04   1.01506920E-01   2.30828800E-02
     0.55556   4.46600000E-04   3.15299681E-08   3.70828975E-07   1.00016516E-03   9.99794332E-04  -4.27849314E-05  -3.85570316E-04   1.42109688E-01   3.23160320E-02
     0.55556   5.74200000E-04   4.05163150E-08   3.57140213E-07   1.00015832E-03   9.99801181E-04  -4.26085617E-05  -6.37371339E-04   1.82712456E-01   4.15491840E-02
     0.55556   7.01800000E-04   4.94737890E-08   3.43468087E-07   1.00015149E-03   9.99808026E-04  -4.24317043E-05  -9.52122617E-04   2.23315224E-01   5.07823360E-02
     0.55556   8.29400000E-04   5.83862939E-08   3.29821975E-07   1.00014469E-03   9.99814867E-04  -4.22540870E-05  -1.32982415E-03   2.63917992E-01   6.00154881E-02
     0.55556   9.57000000E-04   6.72343685E-08   3.16213292E-07   1.00013792E-03   9.99821702E-04  -4.20753784E-05  -1.77047594E-03   3.04520760E-01   6.92486401E-02
     0.55556   1.08460000E-03   7.59953801E-08   3.02655448E-07   1.00013118E-03   9.99828529E-04  -4.18951895E-05  -2.27407799E-03   3.45123528E-01   7.84817921E-02
     0.55556   1.21220000E-03   8.46437959E-08   2.89163784E-07   1.00012451E-03   9.99835344E-04  -4.17130764E-05  -2.84063029E-03   3.85726297E-01   8.77149441E-02
     0.55556   1.33980000E-03   9.31515391E-08   2.75755493E-07   1.00011790E-03   9.99842145E-04  -4.15285424E-05  -3.47013284E-03   4.26329065E-01   9.69480961E-02
     0.55556   1.46740000E-03   1.01488437E-07   2.62449516E-07   1.00011138E-03   9.99848926E-04  -4.13410421E-05  -4.16258566E-03   4.66931833E-01   1.06181248E-01
