State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00389      0.47500    1.00000E-003    1.68225E-002
  D        0.00389      0.52500    1.00000E-003    1.52713E-002
  D        0.00389      0.57500    1.00000E-003    1.37200E-002
  D        0.00389      0.62500    1.00000E-003    1.21688E-002
  D        0.00389      0.67500    1.00000E-003    1.06175E-002
  D        0.00389      0.72500    1.00000E-003    9.06629E-003
  D        0.00389      0.77500    1.00000E-003    7.51504E-003
  D        0.00389      0.82500    1.00000E-003    5.96379E-003
  D        0.00389      0.87500    1.00000E-003    4.41255E-003
  D        0.00389      0.92500    9.99986E-004    2.86116E-003
  D        0.00389      0.97500    9.98389E-004    1.29349E-003
  D        0.00389      1.00000    9.48097E-004    0.00000E+000
  D        0.00417      0.00000    1.05379E-003    3.20703E-002
  D        0.00417      0.02500    1.00173E-003    3.08017E-002
  D        0.00417      0.07500    1.00002E-003    2.92339E-002
  D        0.00417      0.12500    1.00000E-003    2.76825E-002
  D        0.00417      0.17500    1.00000E-003    2.61313E-002
  D        0.00417      0.22500    1.00000E-003    2.45800E-002
  D        0.00417      0.27500    1.00000E-003    2.30288E-002
  D        0.00417      0.32500    1.00000E-003    2.14775E-002
  D        0.00417      0.37500    1.00000E-003    1.99263E-002
  D        0.00417      0.42500    1.00000E-003    1.83750E-002
  D        0.00417      0.47500    1.00000E-003    1.68238E-002
  D        0.00417      0.52500    1.00000E-003    1.52725E-002
  D        0.00417      0.57500    1.00000E-003    1.37213E-002
  D        0.00417      0.62500    1.00000E-003    1.21700E-002
  D        0.00417      0.67500    1.00000E-003    1.06188E-002
  D        0.00417      0.72500    1.00000E-003    9.06752E-003
  D        0.00417      0.77500    1.00000E-003    7.51627E-003
  D        0.00417      0.82500    1.00000E-003    5.96502E-003
  D        0.00417      0.87500    1.00000E-003    4.41377E-003
  D        0.00417      0.92500    9.99984E-004    2.86236E-003
  D        0.00417      0.97500    9.98275E-004    1.29355E-003
  D        0.00417      1.00000    9.47986E-004    0.00000E+000
  D        0.00444      0.00000    1.05390E-003    3.20726E-002
  D        0.00444      0.02500    1.00184E-003    3.08040E-002
  D        0.00444      0.07500    1.00002E-003    2.92351E-002
  D        0.00444      0.12500    1.00000E-003    2.76837E-002
  D        0.00444      0.17500    1.00000E-003    2.61325E-002
  D        0.00444      0.22500    1.00000E-003    2.45812E-002
  D        0.00444      0.27500    1.00000E-003    2.30300E-002
  D        0.00444      0.32500    1.00000E-003    2.14787E-002
  D        0.00444      0.37500    1.00000E-003    1.99275E-002
  D        0.00444      0.42500    1.00000E-003    1.83762E-002
  D        0.00444      0.47500    1.00000E-003    1.68250E-002
  D        0.00444      0.52500    1.00000E-003    1.52737E-002
  D        0.00444      0.57500    1.00000E-003    1.37225E-002
  D        0.00444      0.62500    1.00000E-003    1.21712E-002
  D        0.00444      0.67500    1.00000E-003    1.06200E-002
  D        0.00444      0.72500    1.00000E-003    9.06875E-003
  D        0.00444      0.77500    1.00000E-003    7.51750E-003
  D        0.00444      0.82500    1.00000E-003    5.96625E-003
  D        0.00444      0.87500    1.00000E-003    4.41500E-003
  D        0.00444      0.92500    9.99982E-004    2.86357E-003
  D        0.00444      0.97500    9.98161E-004    1.29360E-003
  D        0.00444      1.00000    9.47876E-004    0.00000E+000
  D        0.00472      0.00000    1.05402E-003    3.20748E-002
  D        0.00472      0.02500    1.00195E-003    3.08063E-002
  D        0.00472      0.07500    1.00002E-003    2.92364E-002
  D        0.00472      0.12500    1.00000E-003    2.76850E-002
  D        0.00472      0.17500    1.00000E-003    2.61337E-002
  D        0.00472      0.22500    1.00000E-003    2.45825E-002
  D        0.00472      0.27500    1.00000E-003    2.30312E-002
  D        0.00472      0.32500    1.00000E-003    2.14800E-002
  D        0.00472      0.37500    1.00000E-003    1.99287E-002
  D        0.00472      0.42500    1.00000E-003    1.83775E-002
  D        0.00472      0.47500    1.00000E-003    1.68262E-002
  D        0.00472      0.52500    1.00000E-003    1.52750E-002
  D        0.00472      0.57500    1.00000E-003    1.37237E-002
  D        0.00472      0.62500    1.00000E-003    1.21725E-002
  D        0.00472      0.67500    1.00000E-003    1.06212E-002
  D        0.00472      0.72500    1.00000E-003    9.06997E-003
  D        0.00472      0.77500    1.00000E-003    7.51873E-003
  D        0.00472      0.82500    1.00000E-003    5.96748E-003
  D        0.00472      0.87500    1.00000E-003    4.41623E-003
  D        0.00472      0.92500    9.99980E-004    2.86478E-003
  D        0.00472      0.97500    9.98047E-004    1.29366E-003
  D        0.00472      1.00000    9.47766E-004    0.00000E+000
  D        0.00500      0.00000    1.05414E-003    3.20771E-002
  D        0.00500      0.02500    1.00207E-003    3.08086E-002
  D        0.00500      0.07500    1.00002E-003    2.92376E-002
  D        0.00500      0.12500    1.00000E-003    2.76862E-002
  D        0.00500      0.17500    1.00000E-003    2.61349E-002
  D        0.00500      0.22500    1.00000E-003    2.45837E-002
  D        0.00500      0.27500    1.00000E-003    2.30324E-002
  D        0.00500      0.32500    1.00000E-003    2.14812E-002
  D        0.00500      0.37500    1.00000E-003    1.99299E-002
  D        0.00500      0.42500    1.00000E-003    1.83787E-002
  D        0.00500      0.47500    1.00000E-003    1.68274E-002
  D        0.00500      0.52500    1.00000E-003    1.52762E-002
  D        0.00500      0.57500    1.00000E-003    1.37249E-002
  D        0.00500      0.62500    1.00000E-003    1.21737E-002
  D        0.00500      0.67500    1.00000E-003    1.06224E-002
  D        0.00500      0.72500    1.00000E-003    9.07120E-003
  D        0.00500      0.77500    1.00000E-003    7.51995E-003
  D        0.00500      0.82500    1.00000E-003    5.96870E-003
  D        0.00500      0.87500    1.00000E-003    4.41745E-003
  D        0.00500      0.92500    9.99978E-004    2.86598E-003
  D        0.00500      0.97500    9.97933E-004    1.29371E-003
  D        0.00500      1.00000    9.47656E-004    0.00000E+000
  D        0.00528      0.00000    1.05426E-003    3.20794E-002
  D        0.00528      0.02500    1.00218E-003    3.08110E-002
  D        0.00528      0.07500    1.00002E-003    2.92389E-002
  D        0.00528      0.12500    1.00000E-003    2.76874E-002
  D        0.00528      0.17500    1.00000E-003    2.61362E-002
  D        0.00528      0.22500    1.00000E-003    2.45849E-002
  D        0.00528      0.27500    1.00000E-003    2.30337E-002
  D        0.00528      0.32500    1.00000E-003    2.14824E-002
  D        0.00528      0.37500    1.00000E-003    1.99312E-002
  D        0.00528      0.42500    1.00000E-003    1.83799E-002
  D        0.00528      0.47500    1.00000E-003    1.68287E-002
