        Time         Position             x_Na             x_Cl            x_H2O          Flux_Na          Flux_Cl         Flux_H2O              Phi
       hours               ξ                                                                                                                  Volts
     0.00000   4.20000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.24000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.28000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.32000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.36000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.40000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.44000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.48000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.52000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.56000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.60000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.64000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.68000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.72000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.76000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.80000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.84000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.88000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.92000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.96000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.00000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.04000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.08000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.12000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.16000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.20000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.24000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.28000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
