        Time     Position          Conc_0          Conc_x
       hours           um           mol/L           mol/L
     0.80000      0.31250     7.91242E-01     2.08758E-01
     0.80000      0.33750     7.87831E-01     2.12169E-01
     0.80000      0.36250     7.85139E-01     2.14861E-01
     0.80000      0.38750     7.83033E-01     2.16967E-01
     0.80000      0.41250     7.81397E-01     2.18603E-01
     0.80000      0.43750     7.80136E-01     2.19864E-01
     0.80000      0.46250     7.79173E-01     2.20827E-01
     0.80000      0.48750     7.78443E-01     2.21557E-01
     0.80000      0.51250     7.77894E-01     2.22106E-01
     0.80000      0.53750     7.77485E-01     2.22515E-01
     0.80000      0.56250     7.77183E-01     2.22817E-01
     0.80000      0.58750     7.76961E-01     2.23039E-01
     0.80000      0.61250     7.76800E-01     2.23200E-01
     0.80000      0.63750     7.76684E-01     2.23316E-01
     0.80000      0.66250     7.76601E-01     2.23399E-01
     0.80000      0.68750     7.76543E-01     2.23457E-01
     0.80000      0.71250     7.76502E-01     2.23498E-01
     0.80000      0.73750     7.76473E-01     2.23527E-01
     0.80000      0.76250     7.76453E-01     2.23547E-01
     0.80000      0.78750     7.76440E-01     2.23560E-01
     0.80000      0.81250     7.76431E-01     2.23569E-01
     0.80000      0.83750     7.76424E-01     2.23576E-01
     0.80000      0.86250     7.76420E-01     2.23580E-01
     0.80000      0.88750     7.76418E-01     2.23582E-01
     0.80000      0.91250     7.76416E-01     2.23584E-01
     0.80000      0.93750     7.76415E-01     2.23585E-01
     0.80000      0.96250     7.76414E-01     2.23586E-01
     0.80000      0.98750     7.76414E-01     2.23586E-01
     0.80000      1.00000     7.76414E-01     2.23586E-01
     0.90000      0.00000     1.00000E+00     0.00000E+00
     0.90000      0.01250     9.78997E-01     2.10027E-02
     0.90000      0.03750     9.42845E-01     5.71548E-02
     0.90000      0.06250     9.11839E-01     8.81610E-02
     0.90000      0.08750     8.85350E-01     1.14650E-01
     0.90000      0.11250     8.62816E-01     1.37184E-01
     0.90000      0.13750     8.43734E-01     1.56266E-01
     0.90000      0.16250     8.27656E-01     1.72344E-01
     0.90000      0.18750     8.14178E-01     1.85822E-01
     0.90000      0.21250     8.02942E-01     1.97058E-01
     0.90000      0.23750     7.93628E-01     2.06372E-01
     0.90000      0.26250     7.85952E-01     2.14048E-01
     0.90000      0.28750     7.79665E-01     2.20335E-01
     0.90000      0.31250     7.74548E-01     2.25452E-01
     0.90000      0.33750     7.70410E-01     2.29590E-01
     0.90000      0.36250     7.67085E-01     2.32915E-01
     0.90000      0.38750     7.64433E-01     2.35567E-01
     0.90000      0.41250     7.62330E-01     2.37670E-01
     0.90000      0.43750     7.60676E-01     2.39324E-01
     0.90000      0.46250     7.59383E-01     2.40617E-01
     0.90000      0.48750     7.58380E-01     2.41620E-01
     0.90000      0.51250     7.57607E-01     2.42393E-01
     0.90000      0.53750     7.57016E-01     2.42984E-01
     0.90000      0.56250     7.56568E-01     2.43432E-01
     0.90000      0.58750     7.56230E-01     2.43770E-01
     0.90000      0.61250     7.55978E-01     2.44022E-01
     0.90000      0.63750     7.55790E-01     2.44210E-01
     0.90000      0.66250     7.55653E-01     2.44347E-01
     0.90000      0.68750     7.55552E-01     2.44448E-01
     0.90000      0.71250     7.55479E-01     2.44521E-01
     0.90000      0.73750     7.55426E-01     2.44574E-01
     0.90000      0.76250     7.55389E-01     2.44611E-01
     0.90000      0.78750     7.55362E-01     2.44638E-01
     0.90000      0.81250     7.55344E-01     2.44656E-01
     0.90000      0.83750     7.55331E-01     2.44669E-01
     0.90000      0.86250     7.55322E-01     2.44678E-01
     0.90000      0.88750     7.55316E-01     2.44684E-01
     0.90000      0.91250     7.55312E-01     2.44688E-01
     0.90000      0.93750     7.55309E-01     2.44691E-01
     0.90000      0.96250     7.55308E-01     2.44692E-01
     0.90000      0.98750     7.55307E-01     2.44693E-01
     0.90000      1.00000     7.55307E-01     2.44693E-01
     1.00000      0.00000     1.00000E+00     0.00000E+00
     1.00000      0.01250     9.78251E-01     2.17492E-02
     1.00000      0.03750     9.40611E-01     5.93892E-02
     1.00000      0.06250     9.08133E-01     9.18666E-02
     1.00000      0.08750     8.80201E-01     1.19799E-01
     1.00000      0.11250     8.56264E-01     1.43736E-01
     1.00000      0.13750     8.35832E-01     1.64168E-01
     1.00000      0.16250     8.18463E-01     1.81537E-01
     1.00000      0.18750     8.03766E-01     1.96234E-01
     1.00000      0.21250     7.91387E-01     2.08613E-01
     1.00000      0.23750     7.81012E-01     2.18988E-01
     1.00000      0.26250     7.72362E-01     2.27638E-01
     1.00000      0.28750     7.65189E-01     2.34811E-01
     1.00000      0.31250     7.59272E-01     2.40728E-01
     1.00000      0.33750     7.54420E-01     2.45580E-01
     1.00000      0.36250     7.50463E-01     2.49537E-01
     1.00000      0.38750     7.47257E-01     2.52743E-01
     1.00000      0.41250     7.44673E-01     2.55327E-01
     1.00000      0.43750     7.42604E-01     2.57396E-01
     1.00000      0.46250     7.40959E-01     2.59041E-01
     1.00000      0.48750     7.39657E-01     2.60343E-01
     1.00000      0.51250     7.38635E-01     2.61365E-01
     1.00000      0.53750     7.37837E-01     2.62163E-01
     1.00000      0.56250     7.37219E-01     2.62781E-01
     1.00000      0.58750     7.36743E-01     2.63257E-01
     1.00000      0.61250     7.36378E-01     2.63622E-01
     1.00000      0.63750     7.36101E-01     2.63899E-01
     1.00000      0.66250     7.35893E-01     2.64107E-01
     1.00000      0.68750     7.35736E-01     2.64264E-01
     1.00000      0.71250     7.35620E-01     2.64380E-01
     1.00000      0.73750     7.35534E-01     2.64466E-01
     1.00000      0.76250     7.35470E-01     2.64530E-01
     1.00000      0.78750     7.35424E-01     2.64576E-01
     1.00000      0.81250     7.35391E-01     2.64609E-01
     1.00000      0.83750     7.35367E-01     2.64633E-01
     1.00000      0.86250     7.35350E-01     2.64650E-01
     1.00000      0.88750     7.35339E-01     2.64661E-01
     1.00000      0.91250     7.35331E-01     2.64669E-01
     1.00000      0.93750     7.35325E-01     2.64675E-01
     1.00000      0.96250     7.35322E-01     2.64678E-01
